,movie,year,imdb,metascore,votes
0,Logan,(2017),8.1,77,495353
1,Wonder Woman,(2017),7.5,76,425346
2,Dunkirk,(2017),8.0,94,404811
3,Star Wars: Episode VIII - The Last Jedi,(2017),7.3,85,400457
4,Guardians of the Galaxy Vol. 2,(2017),7.7,67,395831
5,Thor: Ragnarok,(2017),7.9,74,362242
6,Spider-Man: Homecoming,(2017),7.5,73,342182
7,Get Out,(I) (2017),7.7,84,318939
8,Blade Runner 2049,(2017),8.1,81,314118
9,Baby Driver,(2017),7.7,86,311346
10,It,(I) (2017),7.4,69,290751
11,Justice League,(2017),6.6,45,267222
12,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,256924
13,John Wick: Chapter 2,(2017),7.5,75,236102
14,The Shape of Water,(2017),7.4,87,233687
15,Beauty and the Beast,(2017),7.2,65,211370
16,Kong: Skull Island,(2017),6.7,62,211041
17,Alien: Covenant,(2017),6.4,65,204193
18,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,200673
19,Coco,(I) (2017),8.4,81,198393
20,Kingsman: The Golden Circle,(2017),6.8,44,190629
21,Jumanji: Welcome to the Jungle,(2017),7.0,58,184738
22,War for the Planet of the Apes,(2017),7.5,82,178486
23,The Fate of the Furious,(2017),6.7,56,164033
24,Life,(I) (2017),6.6,54,160938
25,Ghost in the Shell,(2017),6.4,52,156317
26,King Arthur: Legend of the Sword,(2017),6.8,41,151946
27,Murder on the Orient Express,(2017),6.5,52,145294
28,The Greatest Showman,(2017),7.7,48,140721
29,The Hitman's Bodyguard,(2017),6.9,47,137776
30,The Mummy,(2017),5.5,34,136656
31,Lady Bird,(2017),7.5,94,136286
32,Wind River,(2017),7.8,73,133584
33,Bright,(I) (2017),6.4,29,130856
34,Atomic Blonde,(2017),6.7,63,129358
35,Mother!,(2017),6.7,75,125599
36,Valerian and the City of a Thousand Planets,(2017),6.5,51,121697
37,Call Me by Your Name,(2017),8.0,93,116034
38,Baywatch,(2017),5.6,37,111371
39,American Made,(2017),7.2,65,107932
40,Darkest Hour,(2017),7.4,75,105016
41,Transformers: The Last Knight,(2017),5.2,27,102874
42,The Lego Batman Movie,(2017),7.3,75,102190
43,"I, Tonya",(2017),7.5,77,101189
44,The Dark Tower,(2017),5.7,34,93811
45,The Big Sick,(2017),7.6,86,89826
46,The Disaster Artist,(2017),7.5,76,87795
